iter	Passed	Remaining
880	50103	6767
881	50162	6711
882	50207	6652
883	50257	6594
884	50315	6538
885	50369	6480
886	50426	6424
887	50483	6367
888	50530	6309
889	50580	6251
890	50629	6193
891	50684	6136
892	50739	6079
893	50800	6023
894	50849	5965
895	50910	5909
896	50960	5851
897	51025	5795
898	51068	5737
899	51116	5679
900	51170	5622
901	51232	5566
902	51287	5509
903	51329	5450
904	51374	5392
905	51424	5335
906	51494	5280
907	51548	5223
908	51599	5165
909	51661	5109
910	51715	5052
911	51773	4995
912	51840	4939
913	51883	4881
914	51932	4824
915	51993	4767
916	52043	4710
917	52091	4653
918	52151	4596
919	52202	4539
920	52259	4482
921	52328	4426
922	52385	4370
923	52441	4313
924	52490	4255
925	52557	4200
926	52600	4142
927	52648	4084
928	52690	4026
929	52751	3970
930	52807	3913
931	52858	3856
932	52927	3800
933	52981	3743
934	53033	3686
935	53091	3630
936	53133	3572
937	53193	3515
938	53247	3459
939	53296	3401
940	53349	3344
941	53392	3287
942	53460	3231
943	53515	3174
944	53557	3117
945	53603	3059
946	53659	3003
947	53721	2946
948	53783	2890
949	53843	2833
950	53916	2778
951	53982	2721
952	54031	2664
953	54083	2607
954	54129	2550
955	54178	2493
956	54235	2436
957	54289	2380
958	54349	2323
959	54406	2266
960	54468	2210
961	54527	2153
962	54578	2096
963	54616	2039
964	54675	1983
965	54733	1926
966	54795	1869
967	54844	1813
968	54897	1756
969	54946	1699
970	54992	1642
971	55039	1585
972	55083	1528
973	55134	1471
974	55182	1414
975	55225	1358
976	55262	1300
977	55304	1244
978	55346	1187
979	55384	1130
980	55422	1073
981	55461	1016
982	55492	959
983	55526	902
984	55558	846
985	55583	789
986	55604	732
987	55630	675
988	55646	618
989	55658	562
990	55672	505
991	55686	449
992	55700	392
993	55713	336
994	55727	280
995	55740	223
996	55755	167
997	55770	111
998	55784	55
999	55798	0
